"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","JPN","Japan","2021","2021",3.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","KOR","Korea","2018","2018",11.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","KOR","Korea","2019","2019",9.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","KOR","Korea","2020","2020",11.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","KOR","Korea","2021","2021",8.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LUX","Luxembourg","2018","2018",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LUX","Luxembourg","2019","2019",0,"P","Provisional value"
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LUX","Luxembourg","2020","2020",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LUX","Luxembourg","2021","2021",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","MEX","Mexico","2018","2018",34.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","MEX","Mexico","2019","2019",34.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","MEX","Mexico","2020","2020",53.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","MEX","Mexico","2021","2021",58.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NLD","Netherlands","2018","2018",3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NLD","Netherlands","2019","2019",5.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NLD","Netherlands","2020","2020",1.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NLD","Netherlands","2021","2021",2.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NZL","New Zealand","2018","2018",13.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NOR","Norway","2018","2018",1.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NOR","Norway","2019","2019",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NOR","Norway","2020","2020",3.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NOR","Norway","2021","2021",3.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","POL","Poland","2018","2018",1.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","POL","Poland","2019","2019",1.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","POL","Poland","2020","2020",2.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","POL","Poland","2021","2021",2.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","PRT","Portugal","2018","2018",17.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","PRT","Portugal","2019","2019",10.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","PRT","Portugal","2020","2020",20.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","PRT","Portugal","2021","2021",8.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SVK","Slovak Republic","2018","2018",3.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SVK","Slovak Republic","2019","2019",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SVK","Slovak Republic","2020","2020",1.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SVK","Slovak Republic","2021","2021",1.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ESP","Spain","2018","2018",1.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ESP","Spain","2019","2019",1.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ESP","Spain","2020","2020",2.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ESP","Spain","2021","2021",3.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SWE","Sweden","2018","2018",4.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SWE","Sweden","2019","2019",3.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SWE","Sweden","2020","2020",7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SWE","Sweden","2021","2021",2.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CHE","Switzerland","2018","2018",6.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CHE","Switzerland","2019","2019",7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CHE","Switzerland","2020","2020",1.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","TUR","Türkiye","2018","2018",13.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","TUR","Türkiye","2019","2019",13,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","TUR","Türkiye","2020","2020",13.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","TUR","Türkiye","2021","2021",13.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","USA","United States","2018","2018",17.4,"B","Break"
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","USA","United States","2019","2019",20.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","USA","United States","2020","2020",23.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CHL","Chile","2018","2018",13.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CHL","Chile","2019","2019",10.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CHL","Chile","2020","2020",21,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CHL","Chile","2021","2021",19.2,"P","Provisional value"
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","EST","Estonia","2018","2018",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","EST","Estonia","2019","2019",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","EST","Estonia","2020","2020",7.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","EST","Estonia","2021","2021",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ISR","Israel","2018","2018",3.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ISR","Israel","2019","2019",3.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ISR","Israel","2020","2020",2.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ISR","Israel","2021","2021",8.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SVN","Slovenia","2018","2018",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SVN","Slovenia","2019","2019",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SVN","Slovenia","2020","2020",5.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LVA","Latvia","2018","2018",15.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LVA","Latvia","2019","2019",37.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LVA","Latvia","2020","2020",22.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LVA","Latvia","2021","2021",34.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LTU","Lithuania","2018","2018",14.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LTU","Lithuania","2019","2019",11,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LTU","Lithuania","2020","2020",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LTU","Lithuania","2021","2021",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","COL","Colombia","2018","2018",45.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","COL","Colombia","2019","2019",50.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","COL","Colombia","2020","2020",65.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","COL","Colombia","2021","2021",83.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CRI","Costa Rica","2018","2018",16.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CRI","Costa Rica","2019","2019",20.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CRI","Costa Rica","2020","2020",34.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CRI","Costa Rica","2021","2021",40.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ROU","Romania","2018","2018",8.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ROU","Romania","2019","2019",9.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ROU","Romania","2020","2020",16.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ROU","Romania","2021","2021",26.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","HRV","Croatia","2018","2018",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","HRV","Croatia","2019","2019",5.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","HRV","Croatia","2020","2020",5.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","HRV","Croatia","2021","2021",11,,
